flatspin square lattice [8, 8], alpha 0.005, disorder 0.05, hc 0.03 T
protocol (mT): {'b_min': 45.0, 'b_max': 75.0, 'leak': 30.0, 'jitter': 4.5, 'bias': 0.0}
task        gain  train NRMSE  test NRMSE  test R2  visited
recall:0    0.00        0.434       0.426    0.818     20.5
recall:0    0.20        0.515       0.499    0.751     17.0
recall:0    0.50        0.708       0.695    0.517     15.0
recall:1    0.00        0.845       0.836    0.301     20.5
recall:1    0.20        0.896       0.880    0.225     18.0
recall:1    0.50        0.952       0.943    0.111     13.5
recall:2    0.00        0.919       0.946    0.105     20.5
recall:2    0.20        0.951       0.970    0.058     18.5
recall:2    0.50        0.976       0.988    0.024     14.0
recall:3    0.00        0.965       0.991    0.019     20.5
recall:3    0.20        0.972       0.995    0.009     17.5
recall:3    0.50        0.983       1.002   -0.005     13.5
narma2      0.00        0.922       0.945    0.106     20.5
narma2      0.20        0.940       0.960    0.078     20.0
narma2      0.50        0.954       0.979    0.041     17.5
